surah,muqattaat_letters,letter,calculation_type,calculation_description,value,comparison_context
19,ك ه ي ع ص,ه,count_current,Letter count in current surah,149,Current surah with Muqatta'at
19,ك ه ي ع ص,ه,count_previous,Letter count in previous surah,314,Previous surah (surah 18)
19,ك ه ي ع ص,ه,count_all_previous,Letter count in all previous surahs,7621,All surahs before current (surahs 1-18)
19,ك ه ي ع ص,ه,count_next,Letter count in next surah,215,Next surah (surah 20)
19,ك ه ي ع ص,ه,count_all_after,Letter count in all subsequent surahs,7081,All surahs after current (surahs 20-114)
19,ك ه ي ع ص,ه,ratio_current,Letter ratio in current surah (count/total),0.037446594621764265,Current surah with Muqatta'at
19,ك ه ي ع ص,ه,ratio_previous,Letter ratio in previous surah (count/total),0.0474248602930071,Previous surah (surah 18)
19,ك ه ي ع ص,ه,ratio_all_previous,Letter ratio in all previous surahs (count/total),0.04486503988461425,All surahs before current (surahs 1-18)
19,ك ه ي ع ص,ه,ratio_next,Letter ratio in next surah (count/total),0.03942060872753942,Next surah (surah 20)
19,ك ه ي ع ص,ه,ratio_all_after,Letter ratio in all subsequent surahs (count/total),0.04389874955828472,All surahs after current (surahs 20-114)
19,ك ه ي ع ص,ه,diff_vs_previous,Difference between current and previous surah ratios,-0.009978265671242832,Current vs Previous surah ratio difference
19,ك ه ي ع ص,ه,diff_vs_all_previous,Difference between current and all previous surahs ratios,-0.0074184452628499875,Current vs All Previous surahs ratio difference
19,ك ه ي ع ص,ه,diff_vs_next,Difference between current and next surah ratios,-0.0019740141057751556,Current vs Next surah ratio difference
19,ك ه ي ع ص,ه,diff_vs_all_after,Difference between current and all subsequent surahs ratios,-0.006452154936520453,Current vs All Subsequent surahs ratio difference
19,ك ه ي ع ص,ي,count_current,Letter count in current surah,313,Current surah with Muqatta'at
19,ك ه ي ع ص,ي,count_previous,Letter count in previous surah,395,Previous surah (surah 18)
19,ك ه ي ع ص,ي,count_all_previous,Letter count in all previous surahs,10963,All surahs before current (surahs 1-18)
19,ك ه ي ع ص,ي,count_next,Letter count in next surah,362,Next surah (surah 20)
19,ك ه ي ع ص,ي,count_all_after,Letter count in all subsequent surahs,10698,All surahs after current (surahs 20-114)
19,ك ه ي ع ص,ي,ratio_current,Letter ratio in current surah (count/total),0.07866298064840412,Current surah with Muqatta'at
19,ك ه ي ع ص,ي,ratio_previous,Letter ratio in previous surah (count/total),0.05965866183355988,Previous surah (surah 18)
19,ك ه ي ع ص,ي,ratio_all_previous,Letter ratio in all previous surahs (count/total),0.06453948723986695,All surahs before current (surahs 1-18)
19,ك ه ي ع ص,ي,ratio_next,Letter ratio in next surah (count/total),0.06637330399706637,Next surah (surah 20)
19,ك ه ي ع ص,ي,ratio_all_after,Letter ratio in all subsequent surahs (count/total),0.06632238706037706,All surahs after current (surahs 20-114)
19,ك ه ي ع ص,ي,diff_vs_previous,Difference between current and previous surah ratios,0.019004318814844233,Current vs Previous surah ratio difference
19,ك ه ي ع ص,ي,diff_vs_all_previous,Difference between current and all previous surahs ratios,0.014123493408537163,Current vs All Previous surahs ratio difference
19,ك ه ي ع ص,ي,diff_vs_next,Difference between current and next surah ratios,0.012289676651337747,Current vs Next surah ratio difference
19,ك ه ي ع ص,ي,diff_vs_all_after,Difference between current and all subsequent surahs ratios,0.012340593588027055,Current vs All Subsequent surahs ratio difference
19,ك ه ي ع ص,ع,count_current,Letter count in current surah,118,Current surah with Muqatta'at
19,ك ه ي ع ص,ع,count_previous,Letter count in previous surah,206,Previous surah (surah 18)
19,ك ه ي ع ص,ع,count_all_previous,Letter count in all previous surahs,4742,All surahs before current (surahs 1-18)
19,ك ه ي ع ص,ع,count_next,Letter count in next surah,172,Next surah (surah 20)
19,ك ه ي ع ص,ع,count_all_after,Letter count in all subsequent surahs,4547,All surahs after current (surahs 20-114)
19,ك ه ي ع ص,ع,ratio_current,Letter ratio in current surah (count/total),0.029655692385021363,Current surah with Muqatta'at
19,ك ه ي ع ص,ع,ratio_previous,Letter ratio in previous surah (count/total),0.031113124905603383,Previous surah (surah 18)
19,ك ه ي ع ص,ع,ratio_all_previous,Letter ratio in all previous surahs (count/total),0.027916286462779265,All surahs before current (surahs 1-18)
19,ك ه ي ع ص,ع,ratio_next,Letter ratio in next surah (count/total),0.031536486982031535,Next surah (surah 20)
19,ك ه ي ع ص,ع,ratio_all_after,Letter ratio in all subsequent surahs (count/total),0.028189184330111652,All surahs after current (surahs 20-114)
19,ك ه ي ع ص,ع,diff_vs_previous,Difference between current and previous surah ratios,-0.00145743252058202,Current vs Previous surah ratio difference
19,ك ه ي ع ص,ع,diff_vs_all_previous,Difference between current and all previous surahs ratios,0.001739405922242098,Current vs All Previous surahs ratio difference
19,ك ه ي ع ص,ع,diff_vs_next,Difference between current and next surah ratios,-0.001880794597010172,Current vs Next surah ratio difference
19,ك ه ي ع ص,ع,diff_vs_all_after,Difference between current and all subsequent surahs ratios,0.0014665080549097105,Current vs All Subsequent surahs ratio difference
19,ك ه ي ع ص,ص,count_current,Letter count in current surah,27,Current surah with Muqatta'at
