surah,muqattaat_letters,letter,calculation_type,calculation_description,value,comparison_context
28,ط س م,م,ratio_previous,Letter ratio in previous surah (count/total),0.08173374613003095,Previous surah (surah 27)
28,ط س م,م,ratio_all_previous,Letter ratio in all previous surahs (count/total),0.07998639481139108,All surahs before current (surahs 1-27)
28,ط س م,م,ratio_next,Letter ratio in next surah (count/total),0.07801094890510948,Next surah (surah 29)
28,ط س م,م,ratio_all_after,Letter ratio in all subsequent surahs (count/total),0.07967723906664803,All surahs after current (surahs 29-114)
28,ط س م,م,diff_vs_previous,Difference between current and previous surah ratios,-0.005540101145835308,Current vs Previous surah ratio difference
28,ط س م,م,diff_vs_all_previous,Difference between current and all previous surahs ratios,-0.003792749827195435,Current vs All Previous surahs ratio difference
28,ط س م,م,diff_vs_next,Difference between current and next surah ratios,-0.0018173039209138375,Current vs Next surah ratio difference
28,ط س م,م,diff_vs_all_after,Difference between current and all subsequent surahs ratios,-0.0034835940824523848,Current vs All Subsequent surahs ratio difference
29,ا ل م,ا,count_current,Letter count in current surah,604,Current surah with Muqatta'at
29,ا ل م,ا,count_previous,Letter count in previous surah,749,Previous surah (surah 28)
29,ا ل م,ا,count_all_previous,Letter count in all previous surahs,28542,All surahs before current (surahs 1-28)
29,ا ل م,ا,count_next,Letter count in next surah,415,Next surah (surah 30)
29,ا ل م,ا,count_all_after,Letter count in all subsequent surahs,14403,All surahs after current (surahs 30-114)
29,ا ل م,ا,ratio_current,Letter ratio in current surah (count/total),0.13777372262773724,Current surah with Muqatta'at
29,ا ل م,ا,ratio_previous,Letter ratio in previous surah (count/total),0.12460489103310597,Previous surah (surah 28)
29,ا ل م,ا,ratio_all_previous,Letter ratio in all previous surahs (count/total),0.12936297504928956,All surahs before current (surahs 1-28)
29,ا ل م,ا,ratio_next,Letter ratio in next surah (count/total),0.1177639046538025,Next surah (surah 30)
29,ا ل م,ا,ratio_all_after,Letter ratio in all subsequent surahs (count/total),0.1307841784105768,All surahs after current (surahs 30-114)
29,ا ل م,ا,diff_vs_previous,Difference between current and previous surah ratios,0.013168831594631267,Current vs Previous surah ratio difference
29,ا ل م,ا,diff_vs_all_previous,Difference between current and all previous surahs ratios,0.008410747578447675,Current vs All Previous surahs ratio difference
29,ا ل م,ا,diff_vs_next,Difference between current and next surah ratios,0.020009817973934738,Current vs Next surah ratio difference
29,ا ل م,ا,diff_vs_all_after,Difference between current and all subsequent surahs ratios,0.006989544217160443,Current vs All Subsequent surahs ratio difference
29,ا ل م,ل,count_current,Letter count in current surah,551,Current surah with Muqatta'at
29,ا ل م,ل,count_previous,Letter count in previous surah,664,Previous surah (surah 28)
29,ا ل م,ل,count_all_previous,Letter count in all previous surahs,25305,All surahs before current (surahs 1-28)
29,ا ل م,ل,count_next,Letter count in next surah,392,Next surah (surah 30)
29,ا ل م,ل,count_all_after,Letter count in all subsequent surahs,12344,All surahs after current (surahs 30-114)
29,ا ل م,ل,ratio_current,Letter ratio in current surah (count/total),0.12568430656934307,Current surah with Muqatta'at
29,ا ل م,ل,ratio_previous,Letter ratio in previous surah (count/total),0.11046414906005657,Previous surah (surah 28)
29,ا ل م,ل,ratio_all_previous,Letter ratio in all previous surahs (count/total),0.1146916853627031,All surahs before current (surahs 1-28)
29,ا ل م,ل,ratio_next,Letter ratio in next surah (count/total),0.1112372304199773,Next surah (surah 30)
29,ا ل م,ل,ratio_all_after,Letter ratio in all subsequent surahs (count/total),0.11208775243353189,All surahs after current (surahs 30-114)
29,ا ل م,ل,diff_vs_previous,Difference between current and previous surah ratios,0.0152201575092865,Current vs Previous surah ratio difference
29,ا ل م,ل,diff_vs_all_previous,Difference between current and all previous surahs ratios,0.010992621206639963,Current vs All Previous surahs ratio difference
29,ا ل م,ل,diff_vs_next,Difference between current and next surah ratios,0.014447076149365773,Current vs Next surah ratio difference
29,ا ل م,ل,diff_vs_all_after,Difference between current and all subsequent surahs ratios,0.013596554135811179,Current vs All Subsequent surahs ratio difference
29,ا ل م,م,count_current,Letter count in current surah,342,Current surah with Muqatta'at
29,ا ل م,م,count_previous,Letter count in previous surah,458,Previous surah (surah 28)
29,ا ل م,م,count_all_previous,Letter count in all previous surahs,17625,All surahs before current (surahs 1-28)
29,ا ل م,م,count_next,Letter count in next surah,315,Next surah (surah 30)
29,ا ل م,م,count_all_after,Letter count in all subsequent surahs,8782,All surahs after current (surahs 30-114)
29,ا ل م,م,ratio_current,Letter ratio in current surah (count/total),0.07801094890510948,Current surah with Muqatta'at
29,ا ل م,م,ratio_previous,Letter ratio in previous surah (count/total),0.07619364498419565,Previous surah (surah 28)
29,ا ل م,م,ratio_all_previous,Letter ratio in all previous surahs (count/total),0.07988306479026447,All surahs before current (surahs 1-28)
29,ا ل م,م,ratio_next,Letter ratio in next surah (count/total),0.08938706015891033,Next surah (surah 30)
29,ا ل م,م,ratio_all_after,Letter ratio in all subsequent surahs (count/total),0.0797435711172454,All surahs after current (surahs 30-114)
29,ا ل م,م,diff_vs_previous,Difference between current and previous surah ratios,0.0018173039209138375,Current vs Previous surah ratio difference
29,ا ل م,م,diff_vs_all_previous,Difference between current and all previous surahs ratios,-0.0018721158851549846,Current vs All Previous surahs ratio difference
29,ا ل م,م,diff_vs_next,Difference between current and next surah ratios,-0.01137611125380085,Current vs Next surah ratio difference
29,ا ل م,م,diff_vs_all_after,Difference between current and all subsequent surahs ratios,-0.0017326222121359092,Current vs All Subsequent surahs ratio difference
30,ا ل م,ا,count_current,Letter count in current surah,415,Current surah with Muqatta'at
30,ا ل م,ا,count_previous,Letter count in previous surah,604,Previous surah (surah 29)
30,ا ل م,ا,count_all_previous,Letter count in all previous surahs,29146,All surahs before current (surahs 1-29)
30,ا ل م,ا,count_next,Letter count in next surah,284,Next surah (surah 31)
30,ا ل م,ا,count_all_after,Letter count in all subsequent surahs,13988,All surahs after current (surahs 31-114)
30,ا ل م,ا,ratio_current,Letter ratio in current surah (count/total),0.1177639046538025,Current surah with Muqatta'at
30,ا ل م,ا,ratio_previous,Letter ratio in previous surah (count/total),0.13777372262773724,Previous surah (surah 29)
30,ا ل م,ا,ratio_all_previous,Letter ratio in all previous surahs (count/total),0.12952683995573708,All surahs before current (surahs 1-29)
30,ا ل م,ا,ratio_next,Letter ratio in next surah (count/total),0.12856496152105024,Next surah (surah 31)
30,ا ل م,ا,ratio_all_after,Letter ratio in all subsequent surahs (count/total),0.13121458857078533,All surahs after current (surahs 31-114)
30,ا ل م,ا,diff_vs_previous,Difference between current and previous surah ratios,-0.020009817973934738,Current vs Previous surah ratio difference
30,ا ل م,ا,diff_vs_all_previous,Difference between current and all previous surahs ratios,-0.011762935301934577,Current vs All Previous surahs ratio difference
30,ا ل م,ا,diff_vs_next,Difference between current and next surah ratios,-0.010801056867247735,Current vs Next surah ratio difference
30,ا ل م,ا,diff_vs_all_after,Difference between current and all subsequent surahs ratios,-0.013450683916982828,Current vs All Subsequent surahs ratio difference
30,ا ل م,ل,count_current,Letter count in current surah,392,Current surah with Muqatta'at
30,ا ل م,ل,count_previous,Letter count in previous surah,551,Previous surah (surah 29)
30,ا ل م,ل,count_all_previous,Letter count in all previous surahs,25856,All surahs before current (surahs 1-29)
30,ا ل م,ل,count_next,Letter count in next surah,296,Next surah (surah 31)
30,ا ل م,ل,count_all_after,Letter count in all subsequent surahs,11952,All surahs after current (surahs 31-114)
30,ا ل م,ل,ratio_current,Letter ratio in current surah (count/total),0.1112372304199773,Current surah with Muqatta'at
30,ا ل م,ل,ratio_previous,Letter ratio in previous surah (count/total),0.12568430656934307,Previous surah (surah 29)
30,ا ل م,ل,ratio_all_previous,Letter ratio in all previous surahs (count/total),0.11490585239468667,All surahs before current (surahs 1-29)
30,ا ل م,ل,ratio_next,Letter ratio in next surah (count/total),0.1339972838388411,Next surah (surah 31)
30,ا ل م,ل,ratio_all_after,Letter ratio in all subsequent surahs (count/total),0.11211586807249259,All surahs after current (surahs 31-114)
30,ا ل م,ل,diff_vs_previous,Difference between current and previous surah ratios,-0.014447076149365773,Current vs Previous surah ratio difference
30,ا ل م,ل,diff_vs_all_previous,Difference between current and all previous surahs ratios,-0.0036686219747093796,Current vs All Previous surahs ratio difference
30,ا ل م,ل,diff_vs_next,Difference between current and next surah ratios,-0.022760053418863807,Current vs Next surah ratio difference
30,ا ل م,ل,diff_vs_all_after,Difference between current and all subsequent surahs ratios,-0.0008786376525152934,Current vs All Subsequent surahs ratio difference
30,ا ل م,م,count_current,Letter count in current surah,315,Current surah with Muqatta'at
30,ا ل م,م,count_previous,Letter count in previous surah,342,Previous surah (surah 29)
30,ا ل م,م,count_all_previous,Letter count in all previous surahs,17967,All surahs before current (surahs 1-29)
30,ا ل م,م,count_next,Letter count in next surah,171,Next surah (surah 31)
30,ا ل م,م,count_all_after,Letter count in all subsequent surahs,8467,All surahs after current (surahs 31-114)
30,ا ل م,م,ratio_current,Letter ratio in current surah (count/total),0.08938706015891033,Current surah with Muqatta'at
30,ا ل م,م,ratio_previous,Letter ratio in previous surah (count/total),0.07801094890510948,Previous surah (surah 29)
30,ا ل م,م,ratio_all_previous,Letter ratio in all previous surahs (count/total),0.07984659073233816,All surahs before current (surahs 1-29)
30,ا ل م,م,ratio_next,Letter ratio in next surah (count/total),0.07741059302851969,Next surah (surah 31)
30,ا ل م,م,ratio_all_after,Letter ratio in all subsequent surahs (count/total),0.07942478706239917,All surahs after current (surahs 31-114)
30,ا ل م,م,diff_vs_previous,Difference between current and previous surah ratios,0.01137611125380085,Current vs Previous surah ratio difference
30,ا ل م,م,diff_vs_all_previous,Difference between current and all previous surahs ratios,0.009540469426572176,Current vs All Previous surahs ratio difference
30,ا ل م,م,diff_vs_next,Difference between current and next surah ratios,0.011976467130390647,Current vs Next surah ratio difference
30,ا ل م,م,diff_vs_all_after,Difference between current and all subsequent surahs ratios,0.009962273096511168,Current vs All Subsequent surahs ratio difference
31,ا ل م,ا,count_current,Letter count in current surah,284,Current surah with Muqatta'at
31,ا ل م,ا,count_previous,Letter count in previous surah,415,Previous surah (surah 30)
31,ا ل م,ا,count_all_previous,Letter count in all previous surahs,29561,All surahs before current (surahs 1-30)
31,ا ل م,ا,count_next,Letter count in next surah,206,Next surah (surah 32)
31,ا ل م,ا,count_all_after,Letter count in all subsequent surahs,13704,All surahs after current (surahs 32-114)
31,ا ل م,ا,ratio_current,Letter ratio in current surah (count/total),0.12856496152105024,Current surah with Muqatta'at
31,ا ل م,ا,ratio_previous,Letter ratio in previous surah (count/total),0.1177639046538025,Previous surah (surah 30)
31,ا ل م,ا,ratio_all_previous,Letter ratio in all previous surahs (count/total),0.12934546234187877,All surahs before current (surahs 1-30)
31,ا ل م,ا,ratio_next,Letter ratio in next surah (count/total),0.1301326595072647,Next surah (surah 32)
31,ا ل م,ا,ratio_all_after,Letter ratio in all subsequent surahs (count/total),0.13127065472484314,All surahs after current (surahs 32-114)
31,ا ل م,ا,diff_vs_previous,Difference between current and previous surah ratios,0.010801056867247735,Current vs Previous surah ratio difference
31,ا ل م,ا,diff_vs_all_previous,Difference between current and all previous surahs ratios,-0.0007805008208285336,Current vs All Previous surahs ratio difference
31,ا ل م,ا,diff_vs_next,Difference between current and next surah ratios,-0.0015676979862144502,Current vs Next surah ratio difference
31,ا ل م,ا,diff_vs_all_after,Difference between current and all subsequent surahs ratios,-0.0027056932037929082,Current vs All Subsequent surahs ratio difference
31,ا ل م,ل,count_current,Letter count in current surah,296,Current surah with Muqatta'at
31,ا ل م,ل,count_previous,Letter count in previous surah,392,Previous surah (surah 30)
31,ا ل م,ل,count_all_previous,Letter count in all previous surahs,26248,All surahs before current (surahs 1-30)
31,ا ل م,ل,count_next,Letter count in next surah,152,Next surah (surah 32)
31,ا ل م,ل,count_all_after,Letter count in all subsequent surahs,11656,All surahs after current (surahs 32-114)
31,ا ل م,ل,ratio_current,Letter ratio in current surah (count/total),0.1339972838388411,Current surah with Muqatta'at
31,ا ل م,ل,ratio_previous,Letter ratio in previous surah (count/total),0.1112372304199773,Previous surah (surah 30)
31,ا ل م,ل,ratio_all_previous,Letter ratio in all previous surahs (count/total),0.11484928437974473,All surahs before current (surahs 1-30)
31,ا ل م,ل,ratio_next,Letter ratio in next surah (count/total),0.09602021478205938,Next surah (surah 32)
31,ا ل م,ل,ratio_all_after,Letter ratio in all subsequent surahs (count/total),0.11165285693759279,All surahs after current (surahs 32-114)
31,ا ل م,ل,diff_vs_previous,Difference between current and previous surah ratios,0.022760053418863807,Current vs Previous surah ratio difference
31,ا ل م,ل,diff_vs_all_previous,Difference between current and all previous surahs ratios,0.01914799945909637,Current vs All Previous surahs ratio difference
31,ا ل م,ل,diff_vs_next,Difference between current and next surah ratios,0.03797706905678172,Current vs Next surah ratio difference
31,ا ل م,ل,diff_vs_all_after,Difference between current and all subsequent surahs ratios,0.022344426901248313,Current vs All Subsequent surahs ratio difference
31,ا ل م,م,count_current,Letter count in current surah,171,Current surah with Muqatta'at
31,ا ل م,م,count_previous,Letter count in previous surah,315,Previous surah (surah 30)
31,ا ل م,م,count_all_previous,Letter count in all previous surahs,18282,All surahs before current (surahs 1-30)
31,ا ل م,م,count_next,Letter count in next surah,156,Next surah (surah 32)
31,ا ل م,م,count_all_after,Letter count in all subsequent surahs,8296,All surahs after current (surahs 32-114)
31,ا ل م,م,ratio_current,Letter ratio in current surah (count/total),0.07741059302851969,Current surah with Muqatta'at
31,ا ل م,م,ratio_previous,Letter ratio in previous surah (count/total),0.08938706015891033,Previous surah (surah 30)
31,ا ل م,م,ratio_all_previous,Letter ratio in all previous surahs (count/total),0.07999369921634003,All surahs before current (surahs 1-30)
31,ا ل م,م,ratio_next,Letter ratio in next surah (count/total),0.09854706253948199,Next surah (surah 32)
31,ا ل م,م,ratio_all_after,Letter ratio in all subsequent surahs (count/total),0.07946740744288519,All surahs after current (surahs 32-114)
31,ا ل م,م,diff_vs_previous,Difference between current and previous surah ratios,-0.011976467130390647,Current vs Previous surah ratio difference
31,ا ل م,م,diff_vs_all_previous,Difference between current and all previous surahs ratios,-0.0025831061878203443,Current vs All Previous surahs ratio difference
31,ا ل م,م,diff_vs_next,Difference between current and next surah ratios,-0.021136469510962305,Current vs Next surah ratio difference
31,ا ل م,م,diff_vs_all_after,Difference between current and all subsequent surahs ratios,-0.0020568144143655043,Current vs All Subsequent surahs ratio difference
32,ا ل م,ا,count_current,Letter count in current surah,206,Current surah with Muqatta'at
32,ا ل م,ا,count_previous,Letter count in previous surah,284,Previous surah (surah 31)
32,ا ل م,ا,count_all_previous,Letter count in all previous surahs,29845,All surahs before current (surahs 1-31)
32,ا ل م,ا,count_next,Letter count in next surah,859,Next surah (surah 33)
32,ا ل م,ا,count_all_after,Letter count in all subsequent surahs,13498,All surahs after current (surahs 33-114)
32,ا ل م,ا,ratio_current,Letter ratio in current surah (count/total),0.1301326595072647,Current surah with Muqatta'at
32,ا ل م,ا,ratio_previous,Letter ratio in previous surah (count/total),0.12856496152105024,Previous surah (surah 31)
32,ا ل م,ا,ratio_all_previous,Letter ratio in all previous surahs (count/total),0.12933799056996256,All surahs before current (surahs 1-31)
32,ا ل م,ا,ratio_next,Letter ratio in next surah (count/total),0.14646206308610402,Next surah (surah 33)
32,ا ل م,ا,ratio_all_after,Letter ratio in all subsequent surahs (count/total),0.131288176477454,All surahs after current (surahs 33-114)
32,ا ل م,ا,diff_vs_previous,Difference between current and previous surah ratios,0.0015676979862144502,Current vs Previous surah ratio difference
32,ا ل م,ا,diff_vs_all_previous,Difference between current and all previous surahs ratios,0.0007946689373021232,Current vs All Previous surahs ratio difference
32,ا ل م,ا,diff_vs_next,Difference between current and next surah ratios,-0.01632940357883933,Current vs Next surah ratio difference
32,ا ل م,ا,diff_vs_all_after,Difference between current and all subsequent surahs ratios,-0.001155516970189313,Current vs All Subsequent surahs ratio difference
32,ا ل م,ل,count_current,Letter count in current surah,152,Current surah with Muqatta'at
32,ا ل م,ل,count_previous,Letter count in previous surah,296,Previous surah (surah 31)
32,ا ل م,ل,count_all_previous,Letter count in all previous surahs,26544,All surahs before current (surahs 1-31)
32,ا ل م,ل,count_next,Letter count in next surah,711,Next surah (surah 33)
32,ا ل م,ل,count_all_after,Letter count in all subsequent surahs,11504,All surahs after current (surahs 33-114)
32,ا ل م,ل,ratio_current,Letter ratio in current surah (count/total),0.09602021478205938,Current surah with Muqatta'at
32,ا ل م,ل,ratio_previous,Letter ratio in previous surah (count/total),0.1339972838388411,Previous surah (surah 31)
32,ا ل م,ل,ratio_all_previous,Letter ratio in all previous surahs (count/total),0.11503258909998614,All surahs before current (surahs 1-31)
32,ا ل م,ل,ratio_next,Letter ratio in next surah (count/total),0.12122762148337596,Next surah (surah 33)
32,ا ل م,ل,ratio_all_after,Letter ratio in all subsequent surahs (count/total),0.11189355328171809,All surahs after current (surahs 33-114)
32,ا ل م,ل,diff_vs_previous,Difference between current and previous surah ratios,-0.03797706905678172,Current vs Previous surah ratio difference
32,ا ل م,ل,diff_vs_all_previous,Difference between current and all previous surahs ratios,-0.019012374317926753,Current vs All Previous surahs ratio difference
32,ا ل م,ل,diff_vs_next,Difference between current and next surah ratios,-0.025207406701316576,Current vs Next surah ratio difference
32,ا ل م,ل,diff_vs_all_after,Difference between current and all subsequent surahs ratios,-0.015873338499658704,Current vs All Subsequent surahs ratio difference
32,ا ل م,م,count_current,Letter count in current surah,156,Current surah with Muqatta'at
32,ا ل م,م,count_previous,Letter count in previous surah,171,Previous surah (surah 31)
32,ا ل م,م,count_all_previous,Letter count in all previous surahs,18453,All surahs before current (surahs 1-31)
32,ا ل م,م,count_next,Letter count in next surah,418,Next surah (surah 33)
32,ا ل م,م,count_all_after,Letter count in all subsequent surahs,8140,All surahs after current (surahs 33-114)
32,ا ل م,م,ratio_current,Letter ratio in current surah (count/total),0.09854706253948199,Current surah with Muqatta'at
32,ا ل م,م,ratio_previous,Letter ratio in previous surah (count/total),0.07741059302851969,Previous surah (surah 31)
32,ا ل م,م,ratio_all_previous,Letter ratio in all previous surahs (count/total),0.07996897101650256,All surahs before current (surahs 1-31)
32,ا ل م,م,ratio_next,Letter ratio in next surah (count/total),0.07127024722932651,Next surah (surah 33)
32,ا ل م,م,ratio_all_after,Letter ratio in all subsequent surahs (count/total),0.07917363731860094,All surahs after current (surahs 33-114)
32,ا ل م,م,diff_vs_previous,Difference between current and previous surah ratios,0.021136469510962305,Current vs Previous surah ratio difference
32,ا ل م,م,diff_vs_all_previous,Difference between current and all previous surahs ratios,0.01857809152297943,Current vs All Previous surahs ratio difference
32,ا ل م,م,diff_vs_next,Difference between current and next surah ratios,0.02727681531015548,Current vs Next surah ratio difference
32,ا ل م,م,diff_vs_all_after,Difference between current and all subsequent surahs ratios,0.01937342522088105,Current vs All Subsequent surahs ratio difference
36,ي س,ي,count_current,Letter count in current surah,215,Current surah with Muqatta'at
36,ي س,ي,count_previous,Letter count in previous surah,219,Previous surah (surah 35)
36,ي س,ي,count_all_previous,Letter count in all previous surahs,16109,All surahs before current (surahs 1-35)
36,ي س,ي,count_next,Letter count in next surah,238,Next surah (surah 37)
36,ي س,ي,count_all_after,Letter count in all subsequent surahs,5650,All surahs after current (surahs 37-114)
36,ي س,ي,ratio_current,Letter ratio in current surah (count/total),0.06953428201811125,Current surah with Muqatta'at
36,ي س,ي,ratio_previous,Letter ratio in previous surah (count/total),0.06632344033918837,Previous surah (surah 35)
36,ي س,ي,ratio_all_previous,Letter ratio in all previous surahs (count/total),0.06571105735695434,All surahs before current (surahs 1-35)
36,ي س,ي,ratio_next,Letter ratio in next surah (count/total),0.06083844580777096,Next surah (surah 37)
36,ي س,ي,ratio_all_after,Letter ratio in all subsequent surahs (count/total),0.06501277242077647,All surahs after current (surahs 37-114)
36,ي س,ي,diff_vs_previous,Difference between current and previous surah ratios,0.003210841678922882,Current vs Previous surah ratio difference
36,ي س,ي,diff_vs_all_previous,Difference between current and all previous surahs ratios,0.003823224661156907,Current vs All Previous surahs ratio difference
36,ي س,ي,diff_vs_next,Difference between current and next surah ratios,0.008695836210340292,Current vs Next surah ratio difference
36,ي س,ي,diff_vs_all_after,Difference between current and all subsequent surahs ratios,0.004521509597334786,Current vs All Subsequent surahs ratio difference
36,ي س,س,count_current,Letter count in current surah,48,Current surah with Muqatta'at
36,ي س,س,count_previous,Letter count in previous surah,66,Previous surah (surah 35)
36,ي س,س,count_all_previous,Letter count in all previous surahs,4339,All surahs before current (surahs 1-35)
36,ي س,س,count_next,Letter count in next surah,72,Next surah (surah 37)
36,ي س,س,count_all_after,Letter count in all subsequent surahs,1629,All surahs after current (surahs 37-114)
36,ي س,س,ratio_current,Letter ratio in current surah (count/total),0.015523932729624839,Current surah with Muqatta'at
36,ي س,س,ratio_previous,Letter ratio in previous surah (count/total),0.019987886129618413,Previous surah (surah 35)
36,ي س,س,ratio_all_previous,Letter ratio in all previous surahs (count/total),0.017699439932449244,All surahs before current (surahs 1-35)
36,ي س,س,ratio_next,Letter ratio in next surah (count/total),0.018404907975460124,Next surah (surah 37)
36,ي س,س,ratio_all_after,Letter ratio in all subsequent surahs (count/total),0.018744390490875198,All surahs after current (surahs 37-114)
36,ي س,س,diff_vs_previous,Difference between current and previous surah ratios,-0.004463953399993574,Current vs Previous surah ratio difference
36,ي س,س,diff_vs_all_previous,Difference between current and all previous surahs ratios,-0.002175507202824405,Current vs All Previous surahs ratio difference
36,ي س,س,diff_vs_next,Difference between current and next surah ratios,-0.0028809752458352853,Current vs Next surah ratio difference
36,ي س,س,diff_vs_all_after,Difference between current and all subsequent surahs ratios,-0.003220457761250359,Current vs All Subsequent surahs ratio difference
38,ص,ص,count_current,Letter count in current surah,30,Current surah with Muqatta'at
38,ص,ص,count_previous,Letter count in previous surah,34,Previous surah (surah 37)
38,ص,ص,count_all_previous,Letter count in all previous surahs,1514,All surahs before current (surahs 1-37)
38,ص,ص,count_next,Letter count in next surah,22,Next surah (surah 39)
38,ص,ص,count_all_after,Letter count in all subsequent surahs,531,All surahs after current (surahs 39-114)
38,ص,ص,ratio_current,Letter ratio in current surah (count/total),0.009668063164679342,Current surah with Muqatta'at
38,ص,ص,ratio_previous,Letter ratio in previous surah (count/total),0.008691206543967281,Previous surah (surah 37)
38,ص,ص,ratio_all_previous,Letter ratio in all previous surahs (count/total),0.0060042910455160164,All surahs before current (surahs 1-37)
38,ص,ص,ratio_next,Letter ratio in next surah (count/total),0.00444624090541633,Next surah (surah 39)
38,ص,ص,ratio_all_after,Letter ratio in all subsequent surahs (count/total),0.006646555932457974,All surahs after current (surahs 39-114)
38,ص,ص,diff_vs_previous,Difference between current and previous surah ratios,0.0009768566207120615,Current vs Previous surah ratio difference
38,ص,ص,diff_vs_all_previous,Difference between current and all previous surahs ratios,0.003663772119163326,Current vs All Previous surahs ratio difference
38,ص,ص,diff_vs_next,Difference between current and next surah ratios,0.005221822259263012,Current vs Next surah ratio difference
38,ص,ص,diff_vs_all_after,Difference between current and all subsequent surahs ratios,0.0030215072322213685,Current vs All Subsequent surahs ratio difference
40,ح م,ح,count_current,Letter count in current surah,63,Current surah with Muqatta'at
40,ح م,ح,count_previous,Letter count in previous surah,61,Previous surah (surah 39)
40,ح م,ح,count_all_previous,Letter count in all previous surahs,3193,All surahs before current (surahs 1-39)
40,ح م,ح,count_next,Letter count in next surah,47,Next surah (surah 41)
40,ح م,ح,count_all_after,Letter count in all subsequent surahs,889,All surahs after current (surahs 41-114)
40,ح م,ح,ratio_current,Letter ratio in current surah (count/total),0.01216920996716245,Current surah with Muqatta'at
40,ح م,ح,ratio_previous,Letter ratio in previous surah (count/total),0.01232821341956346,Previous surah (surah 39)
40,ح م,ح,ratio_all_previous,Letter ratio in all previous surahs (count/total),0.012271141104671719,All surahs before current (surahs 1-39)
40,ح م,ح,ratio_next,Letter ratio in next surah (count/total),0.013791079812206572,Next surah (surah 41)
40,ح م,ح,ratio_all_after,Letter ratio in all subsequent surahs (count/total),0.012742596680331394,All surahs after current (surahs 41-114)
40,ح م,ح,diff_vs_previous,Difference between current and previous surah ratios,-0.00015900345240101033,Current vs Previous surah ratio difference
40,ح م,ح,diff_vs_all_previous,Difference between current and all previous surahs ratios,-0.00010193113750926915,Current vs All Previous surahs ratio difference
40,ح م,ح,diff_vs_next,Difference between current and next surah ratios,-0.001621869845044123,Current vs Next surah ratio difference
40,ح م,ح,diff_vs_all_after,Difference between current and all subsequent surahs ratios,-0.0005733867131689444,Current vs All Subsequent surahs ratio difference
40,ح م,م,count_current,Letter count in current surah,378,Current surah with Muqatta'at
40,ح م,م,count_previous,Letter count in previous surah,378,Previous surah (surah 39)
40,ح م,م,count_all_previous,Letter count in all previous surahs,20773,All surahs before current (surahs 1-39)
40,ح م,م,count_next,Letter count in next surah,274,Next surah (surah 41)
40,ح م,م,count_all_after,Letter count in all subsequent surahs,5598,All surahs after current (surahs 41-114)
40,ح م,م,ratio_current,Letter ratio in current surah (count/total),0.0730152598029747,Current surah with Muqatta'at
40,ح م,م,ratio_previous,Letter ratio in previous surah (count/total),0.07639450282942603,Previous surah (surah 39)
40,ح م,م,ratio_all_previous,Letter ratio in all previous surahs (count/total),0.07983351524188713,All surahs before current (surahs 1-39)
40,ح م,م,ratio_next,Letter ratio in next surah (count/total),0.08039906103286384,Next surah (surah 41)
40,ح م,م,ratio_all_after,Letter ratio in all subsequent surahs (count/total),0.08023965828627125,All surahs after current (surahs 41-114)
40,ح م,م,diff_vs_previous,Difference between current and previous surah ratios,-0.0033792430264513312,Current vs Previous surah ratio difference
40,ح م,م,diff_vs_all_previous,Difference between current and all previous surahs ratios,-0.0068182554389124295,Current vs All Previous surahs ratio difference
40,ح م,م,diff_vs_next,Difference between current and next surah ratios,-0.007383801229889145,Current vs Next surah ratio difference
40,ح م,م,diff_vs_all_after,Difference between current and all subsequent surahs ratios,-0.0072243984832965485,Current vs All Subsequent surahs ratio difference
41,ح م,ح,count_current,Letter count in current surah,47,Current surah with Muqatta'at
41,ح م,ح,count_previous,Letter count in previous surah,63,Previous surah (surah 40)
41,ح م,ح,count_all_previous,Letter count in all previous surahs,3256,All surahs before current (surahs 1-40)
41,ح م,ح,count_next,Letter count in next surah,52,Next surah (surah 42)
41,ح م,ح,count_all_after,Letter count in all subsequent surahs,842,All surahs after current (surahs 42-114)
41,ح م,ح,ratio_current,Letter ratio in current surah (count/total),0.013791079812206572,Current surah with Muqatta'at
41,ح م,ح,ratio_previous,Letter ratio in previous surah (count/total),0.01216920996716245,Previous surah (surah 40)
41,ح م,ح,ratio_all_previous,Letter ratio in all previous surahs (count/total),0.012269152652224537,All surahs before current (surahs 1-40)
41,ح م,ح,ratio_next,Letter ratio in next surah (count/total),0.014460511679644048,Next surah (surah 42)
41,ح م,ح,ratio_all_after,Letter ratio in all subsequent surahs (count/total),0.012688748907441453,All surahs after current (surahs 42-114)
41,ح م,ح,diff_vs_previous,Difference between current and previous surah ratios,0.001621869845044123,Current vs Previous surah ratio difference
41,ح م,ح,diff_vs_all_previous,Difference between current and all previous surahs ratios,0.0015219271599820356,Current vs All Previous surahs ratio difference
41,ح م,ح,diff_vs_next,Difference between current and next surah ratios,-0.0006694318674374759,Current vs Next surah ratio difference
41,ح م,ح,diff_vs_all_after,Difference between current and all subsequent surahs ratios,0.001102330904765119,Current vs All Subsequent surahs ratio difference
41,ح م,م,count_current,Letter count in current surah,274,Current surah with Muqatta'at
41,ح م,م,count_previous,Letter count in previous surah,378,Previous surah (surah 40)
41,ح م,م,count_all_previous,Letter count in all previous surahs,21151,All surahs before current (surahs 1-40)
41,ح م,م,count_next,Letter count in next surah,298,Next surah (surah 42)
41,ح م,م,count_all_after,Letter count in all subsequent surahs,5324,All surahs after current (surahs 42-114)
41,ح م,م,ratio_current,Letter ratio in current surah (count/total),0.08039906103286384,Current surah with Muqatta'at
